89140182234,6272,6,
89140260151,397,8,
89140578310,4696,3,
89140598868,6804,7,
89140702318,819,8,
89140994991,5213,4,
89141015584,4200,2,
89141432220,4713,3,
89141555188,679,8,
89141848943,6286,6,
89142265573,5777,5,
89142682299,3161,0,
89142941462,810,8,
89143098943,4713,3,
89143219155,679,8,
89143515659,5251,4,
89143590880,370,8,
89143932292,6811,7,
89144349013,3157,0,
89144606806,807,8,
89144765652,3678,1,
89144882105,624,8,
89145182367,6285,6,
89145256421,339,8,
89145599032,5737,5,
89146015730,3147,0,
89146272935,899,8,
89146432397,4686,3,
89146545208,468,8,
89146849091,6254,6,
89146921638,322,8,
89147265756,6774,7,
89147355672,457,8,
89147682451,3122,0,
89278518686,6296,6,
89278935374,5785,5,
89279352021,4246,2,
89279645029,1097,8,
89279768727,3719,1,
89279900574,1186,8,
89280185385,5276,4,
89280602077,5809,5,
89281018741,4233,2,
89281311619,1051,8,
89281414879,6836,7,
89281435429,3716,1,
89281571469,1203,8,
89281831530,4238,2,
89281852095,5291,4,
89281942289,850,8,
89282248231,4744,3,
89282268778,6846,7,
89282384865,1393,8,
89282664871,6325,6,
89282685451,4247,2,
89282980682,1040,8,
89283081578,6848,7,
89283102131,4750,3,
89283241867,1233,8,
89283498219,3194,0,
89283518813,6318,6,
89283613626,802,8,
89283914926,4769,3,
89283935481,6843,7,
89284057345,1386,8,
89284331572,6323,6,
89284352164,4236,2,
89284650375,937,8,
89284748275,6841,7,
89284768831,3727,1,
89284915372,1285,8,
89285164930,3202,0,
89285185514,6319,6,
89285287170,824,8,
89285581617,3731,1,
89285602178,6839,7,
89285731429,1375,8,
89285998293,5288,4,
89286018862,4242,2,
89286321295,843,8,
89286414970,5805,5,
89286435526,4768,3,
89286589151,1426,8,
89286831648,4236,2,
89286852223,5268,4,
89286962103,887,8,
89287248309,3730,1,
89287268886,5785,5,
89287404892,1431,8,
89287665005,5275,4,
89287685560,3195,0,
89287992458,759,8,
89288081661,5810,5,
89288102237,4749,3,
89288262740,1308,8,
89288498344,4255,2,
89288518923,5269,4,
89288637554,994,8,
89288915013,3721,1,
89288935577,5801,5,
89289078948,1361,8,
89289331698,6325,6,
89289352270,4242,2,
89289662708,749,8,
89289748371,6849,7,
89289768929,4758,3,
89289937186,1361,8,
89290165048,3204,0,
89290185636,6316,6,
89290313182,990,8,
89290581722,4756,3,
89290602278,6837,7,
89290754091,1228,8,
89290998398,6334,6,
89291018992,4225,2,
89291332371,721,8,
89291415074,6846,7,
89291435630,3706,1,
89291612484,1353,8,
89291831749,4244,2,
89291852338,5268,4,
89291987954,1029,8,
89292248424,3725,1,
89292268979,6833,7,
89292429113,1197,8,
89292665104,6333,6,
89292685689,3187,0,
89293000619,743,8,
89293081775,5807,5,
89293102327,4757,3,
89293286445,1320,8,
89293498467,3205,0,
89293519035,5276,4,
89293658403,1029,8,
89293915145,4759,3,
89293935690,5777,5,
89294102304,1200,8,
89294331822,5293,4,
89294352385,4239,2,
89294666984,802,8,
89294748493,6851,7,
89294769031,3714,1,
89294959501,1407,8,
89295165175,3212,0,
89295185735,5278,4,
89295325488,1120,8,
89295581849,3723,1,
89295602378,6829,7,
89295775669,1155,8,
89295998528,5292,4,
89296019087,4220,2,
89296331785,845,8,
89296415205,6858,7,
89296435731,4757,3,
89296632786,1241,8,
89296831873,4257,2,
89296852436,5279,4,
89296990389,1154,8,
89297248563,4760,3,
89297269094,6831,7,
89297448593,1163,8,
89297665220,5295,4,
89297685790,4219,2,
89297995520,804,8,
89298081916,5813,5,
89298102450,4748,3,
89298305000,1323,8,
89298498569,3203,0,
89298519141,5274,4,
89298653068,1021,8,
89298915271,4766,3,
89298935802,6837,7,
89299120386,1177,8,
89299331920,5291,4,
89299352494,4225,2,
89299658255,791,8,
89299748624,6852,7,
89299769156,4744,3,
89299976249,1209,8,
89300165270,3198,0,
89300185847,5279,4,
89300314524,982,8,
89300581978,3731,1,
89300602509,6838,7,
89300791134,1203,8,
89300998623,5294,4,
89301019203,4225,2,
89301320874,762,8,
89301415334,6858,7,
89301435863,4762,3,
89301646361,1206,8,
89301831978,4254,2,
89301852564,5266,4,
89301975402,887,8,
89302248689,3732,1,
89302269223,6844,7,
89302460426,1207,8,
89302665345,6330,6,
89302685912,3193,0,
89302983216,802,8,
89303082035,5802,5,
89303102572,3716,1,
89303314597,1237,8,
89303498705,4237,2,
89303519267,5275,4,
89303635523,859,8,
89303915391,3728,1,
89303935927,5798,5,
89304127761,1252,8,
89304332067,5291,4,
89304352611,4246,2,
89304643844,864,8,
89304748747,5806,5,
89304769277,4770,3,
89304980943,1206,8,
89305165428,3203,0,
89305185964,5291,4,
89305295653,801,8,
89305582100,3717,1,
89305602631,5810,5,
89305793113,1263,8,
89305998792,6333,6,
89306019321,3196,0,
89306303157,940,8,
89306415454,6847,7,
89306435989,3719,1,
89306645302,1127,8,
89306832154,3203,0,
89306852673,6315,6,
89306956309,757,8,
89307248795,4768,3,
89307269339,5799,5,
89307456595,1252,8,
89307665515,5270,4,
89307686011,4233,2,
89307962457,985,8,
89308082143,5807,5,
89308102680,3722,1,
89308308064,1147,8,
89308498874,4235,2,
89308519360,5279,4,
89308617954,700,8,
89308915483,4766,3,
89308936033,5811,5,
89309118846,1343,8,
89309332221,6328,6,
89309352703,3202,0,
89309622187,1033,8,
89309748837,5803,5,
89309769379,3728,1,
89309970237,1095,8,
89310165593,4222,2,
89310186057,6328,6,
89310280791,692,8,
89310582187,4765,3,
89310602734,5811,5,
89310780627,1285,8,
89310998940,5275,4,
89311019402,3202,0,
89311282861,1057,8,
89311415539,5797,5,
89311436095,4762,3,
89311631548,1068,8,
89311832291,3192,0,
89311852741,6331,6,
